IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
[2606:4700::fa:360c],2096,TRUE,LAX,North America,Los Angeles,199 ms,13969 kB/s
[2606:4700:4700::72d5:e270],2087,TRUE,LAX,North America,Los Angeles,187 ms,13968 kB/s
[2620:127:f00e::b47b],443,TRUE,LAX,North America,Los Angeles,190 ms,13967 kB/s
[2606:4700:310c::51a7:5bfd],443,TRUE,LAX,North America,Los Angeles,193 ms,13964 kB/s
[2400:cb00:2049::c574:d573],2053,TRUE,LAX,North America,Los Angeles,195 ms,13963 kB/s
[2400:cb00:2049::d9dc:5d6f],2083,TRUE,LAX,North America,Los Angeles,195 ms,13953 kB/s
[2606:4700:ff00::af6a:c3e9],443,TRUE,LAX,North America,Los Angeles,189 ms,13950 kB/s
[2a06:98c1:50::75:9d8d],443,TRUE,LAX,North America,Los Angeles,193 ms,13936 kB/s
[2400:cb00:f00e::f968],8443,TRUE,LAX,North America,Los Angeles,196 ms,13908 kB/s
[2a06:98c1:58::3bb7:de5e],443,TRUE,LAX,North America,Los Angeles,196 ms,13903 kB/s
[2620:127:f00e::eb:bc3c],2096,TRUE,LAX,North America,Los Angeles,182 ms,13900 kB/s
[2606:4700:304f::ead3:cb61],2087,TRUE,LAX,North America,Los Angeles,184 ms,13896 kB/s
[2606:4700:3052::51b2:81b6],2096,TRUE,LAX,North America,Los Angeles,177 ms,13894 kB/s
[2606:4700:310c::6b27:b08],2096,TRUE,LAX,North America,Los Angeles,202 ms,13893 kB/s
[2a06:98c1:50::2642:267b],2096,TRUE,LAX,North America,Los Angeles,181 ms,13883 kB/s
[2400:cb00:2049::d083],2096,TRUE,LAX,North America,Los Angeles,184 ms,13869 kB/s
[2606:4700:3052::3eb0:caf8],2096,TRUE,LAX,North America,Los Angeles,183 ms,13866 kB/s
[2606:4700:7000::3cdc:b923],8443,TRUE,LAX,North America,Los Angeles,187 ms,13865 kB/s
[2400:cb00:2049::a6:e347],2087,TRUE,LAX,North America,Los Angeles,198 ms,13864 kB/s
[2400:cb00:f00e::e654:361c],2083,TRUE,LAX,North America,Los Angeles,182 ms,13842 kB/s
[2400:cb00:2049::ce70:6448],2083,TRUE,LAX,North America,Los Angeles,182 ms,13836 kB/s
[2606:4700:3108::40a6:6d64],2087,TRUE,LAX,North America,Los Angeles,200 ms,13834 kB/s
[2606:4700:304f::2ce:fb7e],8443,TRUE,LAX,North America,Los Angeles,184 ms,13823 kB/s
[2606:4700:3052::e39],2096,TRUE,LAX,North America,Los Angeles,182 ms,13823 kB/s
[2606:4700:304f::e0d1],2053,TRUE,LAX,North America,Los Angeles,193 ms,13797 kB/s
[2606:4700:3108::8c4c],2087,TRUE,LAX,North America,Los Angeles,192 ms,13781 kB/s
[2a06:98c1:3120::e2:358c],2087,TRUE,LAS,North America,Las Vegas,173 ms,13774 kB/s
[2606:4700:4400::11:1b07],2096,TRUE,LAX,North America,Los Angeles,180 ms,13772 kB/s
[2606:4700:4400::645c],2083,TRUE,LAX,North America,Los Angeles,188 ms,13752 kB/s
[2a06:98c1:58::1b:f721],8443,TRUE,LAX,North America,Los Angeles,190 ms,13750 kB/s
[2606:4700:310c::4739:3608],2053,TRUE,LAX,North America,Los Angeles,193 ms,13742 kB/s
[2606:4700::d24a],2087,TRUE,LAX,North America,Los Angeles,204 ms,13736 kB/s
[2606:4700:3110::1fab],2083,TRUE,LAX,North America,Los Angeles,186 ms,13693 kB/s
[2606:4700:ff00::feca:d777],2096,TRUE,LAX,North America,Los Angeles,194 ms,13685 kB/s
[2606:4700:3052::189b:2797],2087,TRUE,LAX,North America,Los Angeles,179 ms,13681 kB/s
[2606:4700:3110::800e:6620],2053,TRUE,LAX,North America,Los Angeles,183 ms,13675 kB/s
[2606:4700:3108::161e:2993],2053,TRUE,LAX,North America,Los Angeles,191 ms,13671 kB/s
[2606:4700:310c::6bdc:e058],2096,TRUE,LAX,North America,Los Angeles,190 ms,13659 kB/s
[2620:127:f00e::a9f1:2b6d],8443,TRUE,LAX,North America,Los Angeles,191 ms,13638 kB/s
[2606:4700:3000::f68a:793c],443,TRUE,LAX,North America,Los Angeles,210 ms,13637 kB/s
[2606:4700:304f::edf2:3b1b],443,TRUE,LAX,North America,Los Angeles,194 ms,13620 kB/s
[2606:4700:3000::dcb7:980b],2096,TRUE,LAX,North America,Los Angeles,188 ms,13590 kB/s
[2606:4700:3000::a5c],2087,TRUE,LAX,North America,Los Angeles,190 ms,13586 kB/s
[2a06:98c1:58::f89b:9ab3],8443,TRUE,LAX,North America,Los Angeles,190 ms,13582 kB/s
[2a06:98c1:3100::6ab2],8443,TRUE,LAX,North America,Los Angeles,210 ms,13575 kB/s
[2606:4700::4610],2053,TRUE,LAX,North America,Los Angeles,196 ms,13553 kB/s
[2400:cb00:f00e::b9e3:725f],443,TRUE,LAX,North America,Los Angeles,195 ms,13543 kB/s
[2620:127:f00e::aa7c:decd],8443,TRUE,LAX,North America,Los Angeles,190 ms,13522 kB/s
[2a06:98c1:58::e7:c5e8],8443,TRUE,LAX,North America,Los Angeles,193 ms,13520 kB/s
[2400:cb00:2049::7553:19d2],2053,TRUE,LAX,North America,Los Angeles,204 ms,13494 kB/s
[2400:cb00:2049::c5:e05a],2096,TRUE,LAX,North America,Los Angeles,187 ms,13492 kB/s
[2400:cb00:f00e::51:c9be],8443,TRUE,LAX,North America,Los Angeles,203 ms,13475 kB/s
[2a06:98c1:3100::db:23a6],443,TRUE,LAX,North America,Los Angeles,203 ms,13446 kB/s
[2606:4700:4700::d7:cf7a],2087,TRUE,LAX,North America,Los Angeles,190 ms,13442 kB/s
[2a06:98c1:50::1c75:3eca],2083,TRUE,LAX,North America,Los Angeles,191 ms,13425 kB/s
[2606:4700:3000::dfc:72a1],443,TRUE,LAX,North America,Los Angeles,197 ms,13424 kB/s
[2a06:98c1:50::4df7:583f],2096,TRUE,LAX,North America,Los Angeles,193 ms,13422 kB/s
[2606:4700:ff00::96dc],8443,TRUE,LAX,North America,Los Angeles,186 ms,13421 kB/s
[2606:4700:304f::d8:564d],2087,TRUE,LAX,North America,Los Angeles,190 ms,13419 kB/s
[2606:4700:304f::68f8:671c],443,TRUE,LAX,North America,Los Angeles,197 ms,13418 kB/s
[2606:4700::f6:10df],2096,TRUE,LAX,North America,Los Angeles,192 ms,13417 kB/s
[2606:4700:7000::f7:3d5e],8443,TRUE,LAX,North America,Los Angeles,203 ms,13413 kB/s
[2606:4700:304f::83ae:988b],2096,TRUE,LAX,North America,Los Angeles,197 ms,13380 kB/s
