IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.0.48,2096,TRUE,SIN,Asia Pacific,Singapore,74 ms,12834 kB/s
8.222.137.192,2087,TRUE,SIN,Asia Pacific,Singapore,76 ms,12829 kB/s
8.222.237.131,2083,TRUE,SIN,Asia Pacific,Singapore,77 ms,12725 kB/s
8.219.222.98,2087,TRUE,SIN,Asia Pacific,Singapore,66 ms,12651 kB/s
8.218.1.163,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,12617 kB/s
47.243.5.154,2096,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,12617 kB/s
8.210.146.108,2096,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,12609 kB/s
8.210.34.188,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,12606 kB/s
8.219.97.50,2096,TRUE,SIN,Asia Pacific,Singapore,72 ms,12463 kB/s
8.210.55.134,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,12453 kB/s
8.218.143.10,2083,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,12293 kB/s
8.218.53.110,8443,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,12265 kB/s
129.150.50.63,443,TRUE,SIN,Asia Pacific,Singapore,201 ms,12227 kB/s
8.218.1.163,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,12146 kB/s
47.245.102.52,2083,TRUE,SIN,Asia Pacific,Singapore,74 ms,12097 kB/s
8.219.177.205,2053,TRUE,SIN,Asia Pacific,Singapore,63 ms,12075 kB/s
47.245.96.80,2053,TRUE,SIN,Asia Pacific,Singapore,71 ms,12045 kB/s
8.210.63.130,2096,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,12044 kB/s
8.222.183.242,2053,TRUE,SIN,Asia Pacific,Singapore,74 ms,12020 kB/s
47.242.232.14,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,12003 kB/s
8.222.249.190,2053,TRUE,SIN,Asia Pacific,Singapore,69 ms,11985 kB/s
47.242.7.162,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,11964 kB/s
47.243.26.83,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,11938 kB/s
47.243.70.186,2087,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,11925 kB/s
8.219.142.191,2096,TRUE,SIN,Asia Pacific,Singapore,74 ms,11850 kB/s
47.242.202.230,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,11819 kB/s
8.210.207.214,2053,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,11818 kB/s
47.245.96.80,2083,TRUE,SIN,Asia Pacific,Singapore,64 ms,11805 kB/s
8.210.207.214,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,11705 kB/s
47.243.183.127,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,11686 kB/s
47.243.5.154,8443,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,11678 kB/s
8.219.194.170,2096,TRUE,SIN,Asia Pacific,Singapore,69 ms,11568 kB/s
8.210.66.190,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,11566 kB/s
8.217.221.165,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,11557 kB/s
8.219.199.220,2087,TRUE,SIN,Asia Pacific,Singapore,72 ms,11361 kB/s
47.245.126.151,2053,TRUE,SIN,Asia Pacific,Singapore,71 ms,11355 kB/s
8.219.193.202,2096,TRUE,SIN,Asia Pacific,Singapore,78 ms,11337 kB/s
8.219.199.220,2053,TRUE,SIN,Asia Pacific,Singapore,72 ms,11319 kB/s
47.242.7.162,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,11228 kB/s
47.243.42.155,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,11199 kB/s
47.242.125.241,2087,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,11138 kB/s
47.245.105.224,2087,TRUE,SIN,Asia Pacific,Singapore,72 ms,10990 kB/s
8.219.110.81,2096,TRUE,SIN,Asia Pacific,Singapore,68 ms,10939 kB/s
150.230.34.116,443,TRUE,SJC,North America,San Jose,176 ms,10906 kB/s
47.242.17.250,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,10840 kB/s
47.243.203.119,2096,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,10771 kB/s
8.218.1.163,8443,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,10737 kB/s
192.9.224.194,443,TRUE,SJC,North America,San Jose,175 ms,10694 kB/s
47.243.206.150,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,10643 kB/s
